"Var1","Freq","HKLK_dyad_ID","HKLK_no_dual_events","JID1","JID2","HK_knowledge","LK_knowledge","HKLK_knowledge_comb","HKLK_no_dual_events_mean","edge_weight_post","edge_weight_pre","edge_new","HKLK_knowledge_comb4","HKLK_no_dual_events_mean_z","HKLK_no_dual_events_mean_gc","HKLK_no_dual_events_mean_gc_z","dyad_ID","phase","dyad_ID_phase","edge_cooccurrence","edge_binary","JID1_phase","JID2_phase","ID1_events","ID2_events","ID1_events_z","ID2_events_z"
"J1001 J1057",13,"J1001 J1057",13,"J1001","J1057","naive","naive","naive naive",7,NA,NA,0,"naive",0.202772772291614,3.67775041050903,0.75178314362218,"J1001_J1057","postknowledge","J1001_J1057_postknowledge",0,0,"J1001_postknowledge","J1057_postknowledge",0,98,-0.499376761210493,5.39035475684777
"J1001 J1093",6,"J1001 J1093",6,"J1001","J1093","naive","naive","naive naive",5,NA,NA,0,"naive",-0.0308482374352854,1.67775041050903,0.342955431184714,"J1001_J1093","postknowledge","J1001_J1093_postknowledge",1,1,"J1001_postknowledge","J1093_postknowledge",0,7,-0.499376761210493,-0.0341365038244718
"J1001 J1317",3,"J1001 J1317",3,"J1001","J1317","naive","naive","naive naive",2,NA,NA,0,"naive",-0.381279752025634,-1.32224958949097,-0.270286137471486,"J1001_J1317","postknowledge","J1001_J1317_postknowledge",0,0,"J1001_postknowledge","J1317_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1001 J1392",1,"J1001 J1392",1,"J1001","J1392","naive","naive","naive naive",1,NA,NA,0,"naive",-0.498090256889084,-2.32224958949097,-0.474699993690219,"J1001_J1392","postknowledge","J1001_J1392_postknowledge",0,0,"J1001_postknowledge","J1392_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1458 J1001",1,"J1458 J1001",1,"J1001","J1458","naive","naive","naive naive",1,NA,NA,0,"naive",-0.498090256889084,-2.32224958949097,-0.474699993690219,"J1001_J1458","postknowledge","J1001_J1458_postknowledge",0,0,"J1001_postknowledge","J1458_postknowledge",0,8,-0.499376761210493,0.0254732902488495
"J1001 J1623",2,"J1001 J1623",2,"J1001","J1623","naive","naive","naive naive",2,NA,NA,0,"naive",-0.381279752025634,-1.32224958949097,-0.270286137471486,"J1001_J1623","postknowledge","J1001_J1623_postknowledge",0,0,"J1001_postknowledge","J1623_postknowledge",0,10,-0.499376761210493,0.144692878395492
"J1001 J1916",3,"J1001 J1916",3,"J1001","J1916","naive","naive","naive naive",3.5,NA,NA,0,"naive",-0.20606399473046,0.177750410509031,0.0363346468566139,"J1001_J1916","postknowledge","J1001_J1916_postknowledge",0,0,"J1001_postknowledge","J1916_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1964 J1001",2,"J1964 J1001",2,"J1001","J1964","naive","naive","naive naive",2,NA,NA,0,"naive",-0.381279752025634,-1.32224958949097,-0.270286137471486,"J1001_J1964","postknowledge","J1001_J1964_postknowledge",1,1,"J1001_postknowledge","J1964_postknowledge",0,6,-0.499376761210493,-0.0937462978977931
"J1001 J1973",4,"J1001 J1973",4,"J1001","J1973","naive","naive","naive naive",4,NA,NA,0,"naive",-0.147658742298735,0.677750410509031,0.138541574965981,"J1001_J1973","postknowledge","J1001_J1973_postknowledge",0,0,"J1001_postknowledge","J1973_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1001 J2039",2,"J1001 J2039",2,"J1001","J2039","naive","naive","naive naive",2,NA,NA,0,"naive",-0.381279752025634,-1.32224958949097,-0.270286137471486,"J1001_J2039","postknowledge","J1001_J2039_postknowledge",0,0,"J1001_postknowledge","J2039_postknowledge",0,6,-0.499376761210493,-0.0937462978977931
"J1001 J2168",13,"J1001 J2168",13,"J1001","J2168","naive","naive","naive naive",13,NA,NA,0,"naive",0.903635801472311,9.67775041050903,1.97826628093458,"J1001_J2168","postknowledge","J1001_J2168_postknowledge",0,0,"J1001_postknowledge","J2168_postknowledge",0,49,-0.499376761210493,2.46947484725502
"J1001 J2375",2,"J1001 J2375",2,"J1001","J2375","naive","naive","naive naive",2,NA,NA,0,"naive",-0.381279752025634,-1.32224958949097,-0.270286137471486,"J1001_J2375","postknowledge","J1001_J2375_postknowledge",0,0,"J1001_postknowledge","J2375_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1001 J2621",1,"J1001 J2621",1,"J1001","J2621","naive","naive","naive naive",1,NA,NA,0,"naive",-0.498090256889084,-2.32224958949097,-0.474699993690219,"J1001_J2621","postknowledge","J1001_J2621_postknowledge",0,0,"J1001_postknowledge","J2621_postknowledge",0,1,-0.499376761210493,-0.3917952682644
"J1001 J2701",2,"J1001 J2701",2,"J1001","J2701","naive","naive","naive naive",2,NA,NA,0,"naive",-0.381279752025634,-1.32224958949097,-0.270286137471486,"J1001_J2701","postknowledge","J1001_J2701_postknowledge",0,0,"J1001_postknowledge","J2701_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1001 J2941",3,"J1001 J2941",3,"J1001","J2941","naive","naive","naive naive",3,0.0175438596491228,NA,1,"naive",-0.264469247162184,-0.322249589490969,-0.0658722812527527,"J1001_J2941","postknowledge","J1001_J2941_postknowledge",0,0,"J1001_postknowledge","J2941_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1001 J2952",5,"J1001 J2952",5,"J1001","J2952","naive","naive","naive naive",5,NA,NA,0,"naive",-0.0308482374352854,1.67775041050903,0.342955431184714,"J1001_J2952","postknowledge","J1001_J2952_postknowledge",0,0,"J1001_postknowledge","J2952_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1001 J3148",1,"J1001 J3148",1,"J1001","J3148","naive","naive","naive naive",1,NA,NA,0,"naive",-0.498090256889084,-2.32224958949097,-0.474699993690219,"J1001_J3148","postknowledge","J1001_J3148_postknowledge",0,0,"J1001_postknowledge","J3148_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1001 J3305",4,"J1001 J3305",4,"J1001","J3305","naive","naive","naive naive",5.5,NA,NA,0,"naive",0.0275570149964394,2.17775041050903,0.445162359294081,"J1001_J3305","postknowledge","J1001_J3305_postknowledge",0,0,"J1001_postknowledge","J3305_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1001 J3462",2,"J1001 J3462",2,"J1001","J3462","naive","naive","naive naive",2,NA,NA,0,"naive",-0.381279752025634,-1.32224958949097,-0.270286137471486,"J1001_J3462","postknowledge","J1001_J3462_postknowledge",0,0,"J1001_postknowledge","J3462_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J3769 J1001",4,"J3769 J1001",4,"J1001","J3769","knowledge","naive","knowledge naive",4,NA,NA,0,"knowledge",-0.147658742298735,-4.25,-0.355393586992793,"J1001_J3769","postknowledge","J1001_J3769_postknowledge",0,0,"J1001_postknowledge","J3769_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1001 J3775",1,"J1001 J3775",1,"J1001","J3775","naive","naive","naive naive",1,NA,NA,0,"naive",-0.498090256889084,-2.32224958949097,-0.474699993690219,"J1001_J3775","postknowledge","J1001_J3775_postknowledge",0,0,"J1001_postknowledge","J3775_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1001 J3777",2,"J1001 J3777",2,"J1001","J3777","naive","naive","naive naive",2,NA,NA,0,"naive",-0.381279752025634,-1.32224958949097,-0.270286137471486,"J1001_J3777","postknowledge","J1001_J3777_postknowledge",0,0,"J1001_postknowledge","J3777_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1001 J3884",2,"J1001 J3884",2,"J1001","J3884","naive","naive","naive naive",2,NA,NA,0,"naive",-0.381279752025634,-1.32224958949097,-0.270286137471486,"J1001_J3884","postknowledge","J1001_J3884_postknowledge",0,0,"J1001_postknowledge","J3884_postknowledge",0,3,-0.499376761210493,-0.272575680117757
"J3987 J1001",2,"J3987 J1001",2,"J1001","J3987","knowledge","naive","knowledge naive",2,NA,NA,0,"knowledge",-0.381279752025634,-6.25,-0.522637627930578,"J1001_J3987","postknowledge","J1001_J3987_postknowledge",0,0,"J1001_postknowledge","J3987_postknowledge",0,11,-0.499376761210493,0.204302672468813
"J1001 J4044",4,"J1001 J4044",4,"J1001","J4044","naive","naive","naive naive",4,NA,NA,0,"naive",-0.147658742298735,0.677750410509031,0.138541574965981,"J1001_J4044","postknowledge","J1001_J4044_postknowledge",0,0,"J1001_postknowledge","J4044_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1001 J4104",1,"J1001 J4104",1,"J1001","J4104","naive","naive","naive naive",1,NA,NA,0,"naive",-0.498090256889084,-2.32224958949097,-0.474699993690219,"J1001_J4104","postknowledge","J1001_J4104_postknowledge",0,0,"J1001_postknowledge","J4104_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1001 J42",3,"J1001 J42",3,"J1001","J42","naive","naive","naive naive",2,NA,NA,0,"naive",-0.381279752025634,-1.32224958949097,-0.270286137471486,"J1001_J42","postknowledge","J1001_J42_postknowledge",0,0,"J1001_postknowledge","J42_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J4304 J1001",5,"J4304 J1001",5,"J1001","J4304","knowledge","naive","knowledge naive",5,NA,NA,0,"knowledge",-0.0308482374352854,-3.25,-0.271771566523901,"J1001_J4304","postknowledge","J1001_J4304_postknowledge",0,0,"J1001_postknowledge","J4304_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J4514 J1001",6,"J4514 J1001",6,"J1001","J4514","knowledge","naive","knowledge naive",6,0.0588235294117647,NA,1,"knowledge",0.0859622674281642,-2.25,-0.188149546055008,"J1001_J4514","postknowledge","J1001_J4514_postknowledge",3,1,"J1001_postknowledge","J4514_postknowledge",0,18,-0.499376761210493,0.621571230982063
"J4521 J1001",6,"J4521 J1001",6,"J1001","J4521","knowledge","naive","knowledge naive",6,0.0102040816326531,NA,1,"knowledge",0.0859622674281642,-2.25,-0.188149546055008,"J1001_J4521","postknowledge","J1001_J4521_postknowledge",1,1,"J1001_postknowledge","J4521_postknowledge",0,60,-0.499376761210493,3.12518258206156
"J1001 J4654",4,"J1001 J4654",4,"J1001","J4654","naive","naive","naive naive",4,NA,NA,0,"naive",-0.147658742298735,0.677750410509031,0.138541574965981,"J1001_J4654","postknowledge","J1001_J4654_postknowledge",1,1,"J1001_postknowledge","J4654_postknowledge",0,4,-0.499376761210493,-0.212965886044436
"J4954 J1001",1,"J4954 J1001",1,"J1001","J4954","naive","naive","naive naive",1,NA,NA,0,"naive",-0.498090256889084,-2.32224958949097,-0.474699993690219,"J1001_J4954","postknowledge","J1001_J4954_postknowledge",0,0,"J1001_postknowledge","J4954_postknowledge",0,76,-0.499376761210493,4.0789392872347
"J1001 J4961",1,"J1001 J4961",1,"J1001","J4961","naive","naive","naive naive",1,NA,NA,0,"naive",-0.498090256889084,-2.32224958949097,-0.474699993690219,"J1001_J4961","postknowledge","J1001_J4961_postknowledge",0,0,"J1001_postknowledge","J4961_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J4967 J1001",10,"J4967 J1001",10,"J1001","J4967","knowledge","naive","knowledge naive",10,NA,NA,0,"knowledge",0.553204286881962,1.75,0.146338535820562,"J1001_J4967","postknowledge","J1001_J4967_postknowledge",1,1,"J1001_postknowledge","J4967_postknowledge",0,3,-0.499376761210493,-0.272575680117757
"J1001 J5017",4,"J1001 J5017",4,"J1001","J5017","naive","naive","naive naive",4,NA,NA,0,"naive",-0.147658742298735,0.677750410509031,0.138541574965981,"J1001_J5017","postknowledge","J1001_J5017_postknowledge",0,0,"J1001_postknowledge","J5017_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J505 J1001",3,"J505 J1001",3,"J1001","J505","naive","naive","naive naive",3,0.0277777777777778,NA,1,"naive",-0.264469247162184,-0.322249589490969,-0.0658722812527527,"J1001_J505","postknowledge","J1001_J505_postknowledge",0,0,"J1001_postknowledge","J505_postknowledge",0,22,-0.499376761210493,0.860010407275348
"J5146 J1001",11,"J5146 J1001",11,"J1001","J5146","knowledge","naive","knowledge naive",11,NA,NA,0,"knowledge",0.670014791745412,2.75,0.229960556289454,"J1001_J5146","postknowledge","J1001_J5146_postknowledge",0,0,"J1001_postknowledge","J5146_postknowledge",0,4,-0.499376761210493,-0.212965886044436
"J5167 J1001",1,"J5167 J1001",1,"J1001","J5167","naive","naive","naive naive",1,NA,NA,0,"naive",-0.498090256889084,-2.32224958949097,-0.474699993690219,"J1001_J5167","postknowledge","J1001_J5167_postknowledge",0,0,"J1001_postknowledge","J5167_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J5316 J1001",1,"J5316 J1001",1,"J1001","J5316","naive","naive","naive naive",1,NA,NA,0,"naive",-0.498090256889084,-2.32224958949097,-0.474699993690219,"J1001_J5316","postknowledge","J1001_J5316_postknowledge",0,0,"J1001_postknowledge","J5316_postknowledge",0,37,-0.499376761210493,1.75415731837517
"J1001 J5607",2,"J1001 J5607",2,"J1001","J5607","naive","naive","naive naive",2,0.02,NA,1,"naive",-0.381279752025634,-1.32224958949097,-0.270286137471486,"J1001_J5607","postknowledge","J1001_J5607_postknowledge",1,1,"J1001_postknowledge","J5607_postknowledge",0,26,-0.499376761210493,1.09844958356863
"J5874 J1001",2,"J5874 J1001",2,"J1001","J5874","naive","naive","naive naive",2,NA,NA,0,"naive",-0.381279752025634,-1.32224958949097,-0.270286137471486,"J1001_J5874","postknowledge","J1001_J5874_postknowledge",0,0,"J1001_postknowledge","J5874_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1001 J595",3,"J1001 J595",3,"J1001","J595","naive","naive","naive naive",3,NA,NA,0,"naive",-0.264469247162184,-0.322249589490969,-0.0658722812527527,"J1001_J595","postknowledge","J1001_J595_postknowledge",0,0,"J1001_postknowledge","J595_postknowledge",0,1,-0.499376761210493,-0.3917952682644
"J5963 J1001",1,"J5963 J1001",1,"J1001","J5963","naive","naive","naive naive",1,0.0454545454545455,NA,1,"naive",-0.498090256889084,-2.32224958949097,-0.474699993690219,"J1001_J5963","postknowledge","J1001_J5963_postknowledge",0,0,"J1001_postknowledge","J5963_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J5964 J1001",2,"J5964 J1001",2,"J1001","J5964","naive","naive","naive naive",2,NA,NA,0,"naive",-0.381279752025634,-1.32224958949097,-0.270286137471486,"J1001_J5964","postknowledge","J1001_J5964_postknowledge",0,0,"J1001_postknowledge","J5964_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1001 J6017",2,"J1001 J6017",2,"J1001","J6017","naive","naive","naive naive",2,NA,NA,0,"naive",-0.381279752025634,-1.32224958949097,-0.270286137471486,"J1001_J6017","postknowledge","J1001_J6017_postknowledge",0,0,"J1001_postknowledge","J6017_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1001 J640",2,"J1001 J640",2,"J1001","J640","naive","naive","naive naive",2,NA,NA,0,"naive",-0.381279752025634,-1.32224958949097,-0.270286137471486,"J1001_J640","postknowledge","J1001_J640_postknowledge",0,0,"J1001_postknowledge","J640_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1046 J1057",3,"J1046 J1057",3,"J1046","J1057","knowledge","naive","knowledge naive",3,NA,NA,0,"knowledge",-0.264469247162184,-5.25,-0.439015607461686,"J1046_J1057","postknowledge","J1046_J1057_postknowledge",0,0,"J1046_postknowledge","J1057_postknowledge",0,98,-0.499376761210493,5.39035475684777
"J1046 J1368",8,"J1046 J1368",8,"J1046","J1368","knowledge","naive","knowledge naive",8,0.0437956204379562,NA,1,"knowledge",0.319583277155063,-0.25,-0.0209055051172231,"J1046_J1368","postknowledge","J1046_J1368_postknowledge",0,0,"J1046_postknowledge","J1368_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1046 J1480",12,"J1046 J1480",12,"J1046","J1480","knowledge","knowledge","knowledge knowledge",7,NA,NA,0,"knowledge",0.202772772291614,1.15865384615385,0.235245406917055,"J1046_J1480","postknowledge","J1046_J1480_postknowledge",0,0,"J1046_postknowledge","J1480_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1046 J1623",6,"J1046 J1623",6,"J1046","J1623","knowledge","naive","knowledge naive",6,NA,NA,0,"knowledge",0.0859622674281642,-2.25,-0.188149546055008,"J1046_J1623","postknowledge","J1046_J1623_postknowledge",0,0,"J1046_postknowledge","J1623_postknowledge",0,10,-0.499376761210493,0.144692878395492
"J1046 J2039",4,"J1046 J2039",4,"J1046","J2039","knowledge","naive","knowledge naive",4,NA,NA,0,"knowledge",-0.147658742298735,-4.25,-0.355393586992793,"J1046_J2039","postknowledge","J1046_J2039_postknowledge",0,0,"J1046_postknowledge","J2039_postknowledge",0,6,-0.499376761210493,-0.0937462978977931
"J1046 J2128",6,"J1046 J2128",6,"J1046","J2128","knowledge","knowledge","knowledge knowledge",9,NA,NA,0,"knowledge",0.436393782018513,3.15865384615385,0.641312167404585,"J1046_J2128","postknowledge","J1046_J2128_postknowledge",0,0,"J1046_postknowledge","J2128_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1046 J2168",1,"J1046 J2168",1,"J1046","J2168","knowledge","naive","knowledge naive",1,NA,NA,0,"knowledge",-0.498090256889084,-7.25,-0.606259648399471,"J1046_J2168","postknowledge","J1046_J2168_postknowledge",0,0,"J1046_postknowledge","J2168_postknowledge",0,49,-0.499376761210493,2.46947484725502
"J1046 J2941",16,"J1046 J2941",16,"J1046","J2941","knowledge","naive","knowledge naive",16,0.00917431192660551,NA,1,"knowledge",1.25406731606266,7.75,0.648070658633917,"J1046_J2941","postknowledge","J1046_J2941_postknowledge",0,0,"J1046_postknowledge","J2941_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1046 J3526",8,"J1046 J3526",8,"J1046","J3526","knowledge","naive","knowledge naive",8,0.018018018018018,NA,1,"knowledge",0.319583277155063,-0.25,-0.0209055051172231,"J1046_J3526","postknowledge","J1046_J3526_postknowledge",0,0,"J1046_postknowledge","J3526_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1046 J3718",2,"J1046 J3718",2,"J1046","J3718","knowledge","naive","knowledge naive",2,NA,NA,0,"knowledge",-0.381279752025634,-6.25,-0.522637627930578,"J1046_J3718","postknowledge","J1046_J3718_postknowledge",0,0,"J1046_postknowledge","J3718_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1046 J3753",5,"J1046 J3753",5,"J1046","J3753","knowledge","naive","knowledge naive",5,NA,NA,0,"knowledge",-0.0308482374352854,-3.25,-0.271771566523901,"J1046_J3753","postknowledge","J1046_J3753_postknowledge",0,0,"J1046_postknowledge","J3753_postknowledge",0,17,-0.499376761210493,0.561961436908741
"J1046 J3987",19,"J1046 J3987",19,"J1046","J3987","knowledge","knowledge","knowledge knowledge",19,NA,NA,0,"knowledge",1.60449883065301,13.1586538461538,2.67164596984223,"J1046_J3987","postknowledge","J1046_J3987_postknowledge",0,0,"J1046_postknowledge","J3987_postknowledge",0,11,-0.499376761210493,0.204302672468813
"J1046 J4044",13,"J1046 J4044",13,"J1046","J4044","knowledge","naive","knowledge naive",13,NA,NA,0,"knowledge",0.903635801472311,4.75,0.397204597227239,"J1046_J4044","postknowledge","J1046_J4044_postknowledge",0,0,"J1046_postknowledge","J4044_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1046 J4104",15,"J1046 J4104",15,"J1046","J4104","knowledge","naive","knowledge naive",15,NA,NA,0,"knowledge",1.13725681119921,6.75,0.564448638165024,"J1046_J4104","postknowledge","J1046_J4104_postknowledge",0,0,"J1046_postknowledge","J4104_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1046 J4715",2,"J1046 J4715",2,"J1046","J4715","knowledge","naive","knowledge naive",2,NA,NA,0,"knowledge",-0.381279752025634,-6.25,-0.522637627930578,"J1046_J4715","postknowledge","J1046_J4715_postknowledge",0,0,"J1046_postknowledge","J4715_postknowledge",0,3,-0.499376761210493,-0.272575680117757
"J1046 J4770",1,"J1046 J4770",1,"J1046","J4770","knowledge","naive","knowledge naive",1,NA,NA,0,"knowledge",-0.498090256889084,-7.25,-0.606259648399471,"J1046_J4770","postknowledge","J1046_J4770_postknowledge",0,0,"J1046_postknowledge","J4770_postknowledge",0,1,-0.499376761210493,-0.3917952682644
"J1046 J4776",1,"J1046 J4776",1,"J1046","J4776","knowledge","naive","knowledge naive",1,NA,NA,0,"knowledge",-0.498090256889084,-7.25,-0.606259648399471,"J1046_J4776","postknowledge","J1046_J4776_postknowledge",0,0,"J1046_postknowledge","J4776_postknowledge",0,3,-0.499376761210493,-0.272575680117757
"J1046 J4782",2,"J1046 J4782",2,"J1046","J4782","knowledge","naive","knowledge naive",2,NA,NA,0,"knowledge",-0.381279752025634,-6.25,-0.522637627930578,"J1046_J4782","postknowledge","J1046_J4782_postknowledge",0,0,"J1046_postknowledge","J4782_postknowledge",0,10,-0.499376761210493,0.144692878395492
"J1046 J4951",31,"J1046 J4951",31,"J1046","J4951","knowledge","naive","knowledge naive",31,NA,NA,0,"knowledge",3.0062248890144,22.75,1.9024009656673,"J1046_J4951","postknowledge","J1046_J4951_postknowledge",0,0,"J1046_postknowledge","J4951_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1046 J4961",5,"J1046 J4961",5,"J1046","J4961","knowledge","naive","knowledge naive",5,NA,NA,0,"knowledge",-0.0308482374352854,-3.25,-0.271771566523901,"J1046_J4961","postknowledge","J1046_J4961_postknowledge",0,0,"J1046_postknowledge","J4961_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1046 J505",6,"J1046 J505",6,"J1046","J505","knowledge","naive","knowledge naive",6,NA,NA,0,"knowledge",0.0859622674281642,-2.25,-0.188149546055008,"J1046_J505","postknowledge","J1046_J505_postknowledge",0,0,"J1046_postknowledge","J505_postknowledge",0,22,-0.499376761210493,0.860010407275348
"J1046 J5053",2,"J1046 J5053",2,"J1046","J5053","knowledge","knowledge","knowledge knowledge",2,NA,NA,0,"knowledge",-0.381279752025634,-3.84134615384615,-0.77992149430177,"J1046_J5053","postknowledge","J1046_J5053_postknowledge",0,0,"J1046_postknowledge","J5053_postknowledge",0,56,-0.499376761210493,2.88674340576827
"J1046 J5087",25,"J1046 J5087",25,"J1046","J5087","knowledge","naive","knowledge naive",25,NA,NA,0,"knowledge",2.30536185983371,16.75,1.40066884285395,"J1046_J5087","postknowledge","J1046_J5087_postknowledge",0,0,"J1046_postknowledge","J5087_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1046 J5222",1,"J1046 J5222",1,"J1046","J5222","knowledge","naive","knowledge naive",1,NA,NA,0,"knowledge",-0.498090256889084,-7.25,-0.606259648399471,"J1046_J5222","postknowledge","J1046_J5222_postknowledge",0,0,"J1046_postknowledge","J5222_postknowledge",0,11,-0.499376761210493,0.204302672468813
"J1046 J5271",3,"J1046 J5271",3,"J1046","J5271","knowledge","naive","knowledge naive",3,NA,NA,0,"knowledge",-0.264469247162184,-5.25,-0.439015607461686,"J1046_J5271","postknowledge","J1046_J5271_postknowledge",0,0,"J1046_postknowledge","J5271_postknowledge",0,9,-0.499376761210493,0.0850830843221708
"J1046 J5694",3,"J1046 J5694",3,"J1046","J5694","knowledge","knowledge","knowledge knowledge",3,NA,NA,0,"knowledge",-0.264469247162184,-2.84134615384615,-0.576888114058005,"J1046_J5694","postknowledge","J1046_J5694_postknowledge",0,0,"J1046_postknowledge","J5694_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1046 J5695",18,"J1046 J5695",18,"J1046","J5695","knowledge","knowledge","knowledge knowledge",18,0.0103092783505155,NA,1,"knowledge",1.48768832578956,12.1586538461538,2.46861258959847,"J1046_J5695","postknowledge","J1046_J5695_postknowledge",0,0,"J1046_postknowledge","J5695_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1046 J5723A",4,"J1046 J5723A",4,"J1046","J5723A","knowledge","naive","knowledge naive",4,NA,NA,0,"knowledge",-0.147658742298735,-4.25,-0.355393586992793,"J1046_J5723A","postknowledge","J1046_J5723A_postknowledge",0,0,"J1046_postknowledge","J5723A_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1046 J5724",4,"J1046 J5724",4,"J1046","J5724","knowledge","naive","knowledge naive",4,NA,NA,0,"knowledge",-0.147658742298735,-4.25,-0.355393586992793,"J1046_J5724","postknowledge","J1046_J5724_postknowledge",0,0,"J1046_postknowledge","J5724_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J5730 J1046",4,"J5730 J1046",4,"J1046","J5730","knowledge","knowledge","knowledge knowledge",4,NA,NA,0,"knowledge",-0.147658742298735,-1.84134615384615,-0.37385473381424,"J1046_J5730","postknowledge","J1046_J5730_postknowledge",0,0,"J1046_postknowledge","J5730_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1046 J5763",1,"J1046 J5763",1,"J1046","J5763","knowledge","naive","knowledge naive",1,NA,NA,0,"knowledge",-0.498090256889084,-7.25,-0.606259648399471,"J1046_J5763","postknowledge","J1046_J5763_postknowledge",0,0,"J1046_postknowledge","J5763_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1046 J5804",5,"J1046 J5804",5,"J1046","J5804","knowledge","naive","knowledge naive",5,NA,NA,0,"knowledge",-0.0308482374352854,-3.25,-0.271771566523901,"J1046_J5804","postknowledge","J1046_J5804_postknowledge",NA,NA,"J1046_postknowledge","J5804_postknowledge",0,NA,-0.499376761210493,NA
"J1046 J6024",1,"J1046 J6024",1,"J1046","J6024","knowledge","naive","knowledge naive",1,NA,NA,0,"knowledge",-0.498090256889084,-7.25,-0.606259648399471,"J1046_J6024","postknowledge","J1046_J6024_postknowledge",0,0,"J1046_postknowledge","J6024_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1046 J6042",2,"J1046 J6042",2,"J1046","J6042","knowledge","naive","knowledge naive",2,NA,NA,0,"knowledge",-0.381279752025634,-6.25,-0.522637627930578,"J1046_J6042","postknowledge","J1046_J6042_postknowledge",0,0,"J1046_postknowledge","J6042_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1046 J972",4,"J1046 J972",4,"J1046","J972","knowledge","naive","knowledge naive",4,NA,NA,0,"knowledge",-0.147658742298735,-4.25,-0.355393586992793,"J1046_J972","postknowledge","J1046_J972_postknowledge",0,0,"J1046_postknowledge","J972_postknowledge",0,0,-0.499376761210493,-0.451405062337721
"J1057 J1096",2,"J1057 J1096",2,"J1057","J1096","naive","naive","naive naive",2,NA,NA,0,"naive",-0.381279752025634,-1.32224958949097,-0.270286137471486,"J1057_J1096","postknowledge","J1057_J1096_postknowledge",0,0,"J1057_postknowledge","J1096_postknowledge",98,0,3.85852670264387,-0.451405062337721
"J1317 J1057",15,"J1317 J1057",15,"J1057","J1317","naive","naive","naive naive",15,NA,NA,0,"naive",1.13725681119921,11.677750410509,2.38709399337205,"J1057_J1317","postknowledge","J1057_J1317_postknowledge",0,0,"J1057_postknowledge","J1317_postknowledge",98,0,3.85852670264387,-0.451405062337721
"J1368 J1057",4,"J1368 J1057",4,"J1057","J1368","naive","naive","naive naive",4,0.0116959064327485,NA,1,"naive",-0.147658742298735,0.677750410509031,0.138541574965981,"J1057_J1368","postknowledge","J1057_J1368_postknowledge",0,0,"J1057_postknowledge","J1368_postknowledge",98,0,3.85852670264387,-0.451405062337721
"J1480 J1057",4,"J1480 J1057",4,"J1057","J1480","knowledge","naive","knowledge naive",4,0.00775193798449612,NA,1,"knowledge",-0.147658742298735,-4.25,-0.355393586992793,"J1057_J1480","postknowledge","J1057_J1480_postknowledge",0,0,"J1057_postknowledge","J1480_postknowledge",98,0,3.85852670264387,-0.451405062337721
